?cls	?xref
<http://purl.obolibrary.org/obo/GO_0042331>	"Wikipedia:Phototaxis"
<http://purl.obolibrary.org/obo/GO_0042060>	"Wikipedia:Wound_healing"
<http://purl.obolibrary.org/obo/FBbt_00000001>	"CARO:0000012"
<http://purl.obolibrary.org/obo/FBbt_00000001>	"NCBITaxon:7227"
<http://purl.obolibrary.org/obo/FBbt_00000001>	"UBERON:0000468"
<http://purl.obolibrary.org/obo/GO_0030431>	"Wikipedia:Sleep"
<http://purl.obolibrary.org/obo/GO_0007155>	"Wikipedia:Cell_adhesion"
<http://purl.obolibrary.org/obo/GO_0007612>	"Wikipedia:Learning"
<http://purl.obolibrary.org/obo/GO_0007617>	"Wikipedia:Mating_behaviour"
<http://purl.obolibrary.org/obo/GO_0000910>	"Wikipedia:Cytokinesis"
<http://purl.obolibrary.org/obo/GO_0051321>	"Wikipedia:Meiosis"
<http://purl.obolibrary.org/obo/GO_0051301>	"Wikipedia:Cell_division"
<http://purl.obolibrary.org/obo/CL_0000000>	"CALOHA:TS-2035"
<http://purl.obolibrary.org/obo/CL_0000000>	"MESH:D002477"
<http://purl.obolibrary.org/obo/CL_0000000>	"XAO:0003012"
<http://purl.obolibrary.org/obo/CL_0000000>	"VHOG:0001533"
<http://purl.obolibrary.org/obo/CL_0000000>	"GO:0005623"
<http://purl.obolibrary.org/obo/CL_0000000>	"FMA:68646"
<http://purl.obolibrary.org/obo/CL_0000000>	"WBbt:0004017"
<http://purl.obolibrary.org/obo/CL_0000000>	"KUPO:0000002"
<http://purl.obolibrary.org/obo/GO_0043052>	"Wikipedia:Thermotaxis"
<http://purl.obolibrary.org/obo/GO_0007600>	"Wikipedia:Perception"
<http://purl.obolibrary.org/obo/GO_0007614>	"Wikipedia:Short-term_memory"
<http://www.ebi.ac.uk/efo/EFO_0022597>	"SNOMED:248280005"
<http://purl.obolibrary.org/obo/GO_0018991>	"Wikipedia:Oviposition"
<http://purl.obolibrary.org/obo/GO_0055115>	"Wikipedia:Diapause"
<http://purl.obolibrary.org/obo/GO_0016477>	"Wikipedia:Cell_migration"
<http://purl.obolibrary.org/obo/GO_0007616>	"Wikipedia:Long-term_memory"
<http://purl.obolibrary.org/obo/GO_0006281>	"Wikipedia:DNA_repair"
<http://purl.obolibrary.org/obo/GO_0050909>	"Wikipedia:Taste"
<http://purl.obolibrary.org/obo/GO_0000278>	"Wikipedia:Mitosis"
<http://purl.obolibrary.org/obo/GO_0007610>	"Wikipedia:Behavior"
<http://purl.obolibrary.org/obo/FBbt_00100313>	"UBERON:0010000"
<http://purl.obolibrary.org/obo/GO_0007608>	"Wikipedia:Olfaction"
<http://purl.obolibrary.org/obo/GO_0007562>	"Wikipedia:Pupa#Emergence"
<http://purl.obolibrary.org/obo/GO_0007613>	"Wikipedia:Memory"
<http://purl.obolibrary.org/obo/GO_0007623>	"Wikipedia:Circadian_rhythm"
<http://purl.obolibrary.org/obo/GO_0007605>	"Wikipedia:Hearing_(sense)"
<http://purl.obolibrary.org/obo/GO_0050975>	"Wikipedia:Touch"
<http://purl.obolibrary.org/obo/GO_0007631>	"Wikipedia:List_of_feeding_behaviours"
<http://purl.obolibrary.org/obo/FBbt_00004508>	"VFB:FBbt_00004508"
<http://purl.obolibrary.org/obo/FBbt_00004508>	"UBERON:0000018"
<http://purl.obolibrary.org/obo/FBbt_00004508>	"https://www.ento.csiro.au/biology/drosophila/melanogaster.html?compound%20eye"
<http://purl.obolibrary.org/obo/FBbt_00007001>	"UBERON:0000061"
<http://purl.obolibrary.org/obo/FBbt_00007001>	"CARO:0000003"
<http://purl.obolibrary.org/obo/GO_0007049>	"Wikipedia:Cell_cycle"
<http://purl.obolibrary.org/obo/FBbt_00005093>	"UBERON:0001016"
<http://purl.obolibrary.org/obo/FBbt_00005093>	"VFB:FBbt_00005093"
<http://purl.obolibrary.org/obo/GO_0007530>	"Wikipedia:Sex-determination_system"
<http://purl.obolibrary.org/obo/GO_0007113>	"Wikipedia:Mitosis#Endomitosis"
<http://purl.obolibrary.org/obo/FBbt_00004856>	"UBERON:0000467"
<http://purl.obolibrary.org/obo/FBbt_10000000>	"UBERON:0001062"
<http://purl.obolibrary.org/obo/FBbt_00004113>	"VFB:FBbt_00004113"
<http://purl.obolibrary.org/obo/FBbt_00005155>	"UBERON:0000020"
<http://purl.obolibrary.org/obo/FBbt_00005155>	"VFB:FBbt_00005155"
<http://purl.obolibrary.org/obo/FBbt_00007230>	"UBERON:0014732"
<http://purl.obolibrary.org/obo/FBbt_00005168>	"VFB:FBbt_00005168"
<http://purl.obolibrary.org/obo/FBbt_00005168>	"UBERON:6005168"
<http://purl.obolibrary.org/obo/FBbt_00005162>	"VFB:FBbt_00005162"
<http://purl.obolibrary.org/obo/FBbt_00005162>	"UBERON:0000970"
<http://purl.obolibrary.org/obo/FBbt_00007002>	"CL:0000000"
<http://purl.obolibrary.org/obo/FBbt_00007002>	"CARO:0000013"
<http://purl.obolibrary.org/obo/FBbt_00007016>	"UBERON:0000465"
<http://purl.obolibrary.org/obo/FBbt_00007016>	"CARO:0000006"
<http://purl.obolibrary.org/obo/FBbt_00007235>	"VFB:FBbt_00007235"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"https://en.wikipedia.org/wiki/Surface"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"http://sweetontology.net/reprSpaceGeometry/Surface"
<http://purl.obolibrary.org/obo/ENVO_00010504>	"EcoLexicon:surface"
<http://purl.obolibrary.org/obo/CHEBI_46787>	"Wikipedia:Solvent"
<http://purl.obolibrary.org/obo/FBbt_00005396>	"UBERON:6005396"
<http://purl.obolibrary.org/obo/FBbt_00003004>	"UBERON:0007023"
<http://purl.obolibrary.org/obo/FBbt_00001652>	"UBERON:6001652"
<http://purl.obolibrary.org/obo/GO_0009648>	"Wikipedia:Photoperiodism"
<http://purl.obolibrary.org/obo/FBbt_00003623>	"UBERON:6003623"
<http://purl.obolibrary.org/obo/FBbt_00003623>	"VFB:FBbt_00003623"
<http://purl.obolibrary.org/obo/FBbt_00000157>	"UBERON:6000157"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"https://en.wikipedia.org/wiki/Water"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"LTER:617"
<http://purl.obolibrary.org/obo/ENVO_00002006>	"EcoLexicon:water"
<http://purl.obolibrary.org/obo/FBbt_00100315>	"UBERON:0004921"
<http://purl.obolibrary.org/obo/FBdv_00007009>	"GO:0032502"
<http://purl.obolibrary.org/obo/ENVO_01001618>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/FBbt_00001761>	"UBERON:0000939"
<http://purl.obolibrary.org/obo/FBbt_00002952>	"UBERON:0003142"
<http://purl.obolibrary.org/obo/GO_0002376>	"Wikipedia:Immune_system"
<http://purl.obolibrary.org/obo/ENVO_01001620>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/FBbt_00001732>	"UBERON:6001732"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"EcoLexicon:environment"
<http://purl.obolibrary.org/obo/FBbt_00002649>	"VFB:FBbt_00002649"
<http://purl.obolibrary.org/obo/FBbt_00007045>	"UBERON:6007045"
<http://purl.obolibrary.org/obo/FBbt_00007331>	"UBERON:6007331"
<http://purl.obolibrary.org/obo/FBbt_00000005>	"UBERON:6000005"
<http://purl.obolibrary.org/obo/FBbt_00047887>	"VFB:FBbt_00047887"
<http://purl.obolibrary.org/obo/FBbt_00005095>	"UBERON:0000955"
<http://purl.obolibrary.org/obo/FBbt_00005095>	"VFB:FBbt_00005095"
<http://purl.obolibrary.org/obo/FBbt_00057001>	"UBERON:6057001"
<http://purl.obolibrary.org/obo/FBbt_00007145>	"VFB:FBbt_00007145"
<http://purl.obolibrary.org/obo/FBbt_00007145>	"UBERON:6007145"
<http://purl.obolibrary.org/obo/CHEBI_27594>	"WebElements:C"
<http://purl.obolibrary.org/obo/CHEBI_27594>	"KEGG:C06265"
<http://purl.obolibrary.org/obo/CHEBI_37527>	"KEGG:C00174"
<http://purl.obolibrary.org/obo/CHEBI_16234>	"KEGG:C01328"
<http://purl.obolibrary.org/obo/CHEBI_16234>	"PDBeChem:OH"
<http://purl.obolibrary.org/obo/FBbt_00001766>	"UBERON:6001766"
<http://purl.obolibrary.org/obo/FBbt_00007116>	"UBERON:6007116"
<http://purl.obolibrary.org/obo/ENVO_01000267>	"LTER:48"
<http://purl.obolibrary.org/obo/FBbt_00007152>	"UBERON:0002536"
<http://purl.obolibrary.org/obo/ENVO_01000293>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/ENVO_01001645>	<http://vocab.nerc.ac.uk/collection/S23/current/S23C013/>
<http://purl.obolibrary.org/obo/FBbt_00007010>	"CARO:0000055"
<http://purl.obolibrary.org/obo/FBbt_00007010>	"UBERON:0000481"
<http://purl.obolibrary.org/obo/FBbt_00007692>	"UBERON:0001032"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"KEGG:C00011"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"PDBeChem:CO2"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"PPDB:119"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"MolBase:752"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"HMDB:HMDB0001967"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"MetaCyc:CARBON-DIOXIDE"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"Wikipedia:Carbon_dioxide"
<http://purl.obolibrary.org/obo/CHEBI_16526>	"KEGG:D00004"
<http://purl.obolibrary.org/obo/FBbt_00005331>	"FBdv:00005331"
<http://purl.obolibrary.org/obo/GO_0022414>	"Wikipedia:Reproduction"
<http://purl.obolibrary.org/obo/FBbt_00002639>	"VFB:FBbt_00002639"
<http://purl.obolibrary.org/obo/FBbt_00002639>	"UBERON:6002639"
<http://purl.obolibrary.org/obo/FBbt_00003011>	"UBERON:6003011"
<http://purl.obolibrary.org/obo/FBbt_00007288>	"UBERON:6007288"
<http://purl.obolibrary.org/obo/GO_0009790>	"Wikipedia:Embryogenesis"
<http://purl.obolibrary.org/obo/FBbt_00110639>	"VFB:FBbt_00110639"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"SWEETRealm:Rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"EcoLexicon:rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"Geonames:T.RKS"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"https://en.wikipedia.org/wiki/Rock"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"FTT:1010"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"FTT:145"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"Geonames:T.RK"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"TGN:21444"
<http://purl.obolibrary.org/obo/FBbt_00007676>	"VFB:FBbt_00007676"
<http://purl.obolibrary.org/obo/FBbt_00001731>	"UBERON:6001731"
<http://purl.obolibrary.org/obo/CHEBI_27027>	"Wikipedia:Micronutrient"
<http://purl.obolibrary.org/obo/FBbt_00002654>	"VFB:FBbt_00002654"
<http://purl.obolibrary.org/obo/FBbt_00000160>	"UBERON:6000160"
<http://purl.obolibrary.org/obo/FBbt_00051068>	"VFB:FBbt_00051068"
<http://purl.obolibrary.org/obo/CHEBI_76413>	"Wikipedia:Greenhouse_gas"
<http://purl.obolibrary.org/obo/ENVO_03000111>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/FBbt_00001648>	"UBERON:6001648"
<http://purl.obolibrary.org/obo/FBbt_00000004>	"UBERON:6000004"
<http://purl.obolibrary.org/obo/FBbt_00000119>	"UBERON:6000119"
<http://purl.obolibrary.org/obo/FBbt_00003626>	"UBERON:6003626"
<http://purl.obolibrary.org/obo/FBbt_00003626>	"VFB:FBbt_00003626"
<http://purl.obolibrary.org/obo/FBbt_00000155>	"UBERON:0008816"
<http://purl.obolibrary.org/obo/FBbt_00005495>	"UBERON:0001048"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"Wikipedia:Nitrogen"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"MetaCyc:NITROGEN-MOLECULE"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"KEGG:C00697"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"KEGG:D00083"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"PDBeChem:HDZ"
<http://purl.obolibrary.org/obo/CHEBI_17997>	"HMDB:HMDB0001371"
<http://purl.obolibrary.org/obo/FBbt_00007027>	"UBERON:0000485"
<http://purl.obolibrary.org/obo/FBbt_00001060>	"UBERON:6001060"
<http://purl.obolibrary.org/obo/FBbt_00001060>	"VFB:FBbt_00001060"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"HMDB:HMDB0001377"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"KEGG:D00003"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"KEGG:C00007"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"MolBase:750"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"Wikipedia:Oxygen"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"PDBeChem:OXY"
<http://purl.obolibrary.org/obo/CHEBI_15379>	"MetaCyc:OXYGEN-MOLECULE"
<http://purl.obolibrary.org/obo/FBbt_00007245>	"UBERON:6007245"
<http://purl.obolibrary.org/obo/FBbt_00003007>	"UBERON:6003007"
<http://purl.obolibrary.org/obo/FBbt_00003007>	"https://www.ento.csiro.au/biology/drosophila/melanogaster.html?head"
<http://purl.obolibrary.org/obo/GO_0019953>	"Wikipedia:Sexual_reproduction"
<http://purl.obolibrary.org/obo/FBbt_00003923>	"VFB:FBbt_00003923"
<http://purl.obolibrary.org/obo/ENVO_01000230>	"EcoLexicon:aridity"
<http://purl.obolibrary.org/obo/FBbt_00000002>	"UBERON:6000002"
<http://purl.obolibrary.org/obo/FBbt_00052718>	"VFB:FBbt_00052718"
<http://purl.obolibrary.org/obo/FBbt_00001735>	"UBERON:6001735"
<http://purl.obolibrary.org/obo/FBdv_00007024>	"GO:0008150"
<http://purl.obolibrary.org/obo/ENVO_01000277>	<http://sweetontology.net/matrWater/Ice>
<http://purl.obolibrary.org/obo/ENVO_01000277>	"LTER:262"
<http://purl.obolibrary.org/obo/FBdv_00005339>	"UBERON:8000002"
<http://purl.obolibrary.org/obo/GO_0042330>	"Wikipedia:Taxis"
<http://purl.obolibrary.org/obo/FBbt_00000008>	"UBERON:6000008"
<http://purl.obolibrary.org/obo/FBbt_00007280>	"VFB:FBbt_00007280"
<http://purl.obolibrary.org/obo/FBbt_00007280>	"UBERON:6007280"
<http://purl.obolibrary.org/obo/FBbt_00001919>	"UBERON:6001919"
<http://purl.obolibrary.org/obo/FBbt_00001919>	"VFB:FBbt_00001919"
<http://purl.obolibrary.org/obo/CHEBI_10545>	"Wikipedia:Electron"
<http://purl.obolibrary.org/obo/CHEBI_10545>	"KEGG:C05359"
<http://purl.obolibrary.org/obo/FBbt_00007005>	"UBERON:0000483"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"MetaCyc:WATER"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"KEGG:D00001"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"MolBase:1"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"PDBeChem:HOH"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"Wikipedia:Water"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"HMDB:HMDB0002111"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"KEGG:C00001"
<http://purl.obolibrary.org/obo/FBbt_00005384>	"UBERON:0001046"
<http://purl.obolibrary.org/obo/ENVO_01000846>	<http://sweetontology.net/matrWater/Ice>
<http://purl.obolibrary.org/obo/FBbt_00001056>	"UBERON:6001056"
<http://purl.obolibrary.org/obo/FBbt_00005055>	"UBERON:0001007"
<http://purl.obolibrary.org/obo/ENVO_01001570>	"https://www.worldwildlife.org/biome-categories/terrestrial-ecoregions"
<http://purl.obolibrary.org/obo/ENVO_01001548>	<http://sweetontology.net/procStateChange/Freezing>
<http://purl.obolibrary.org/obo/PATO_0001241>	"snap:Quality"
<http://purl.obolibrary.org/obo/FBbt_00040003>	"UBERON:6040003"
<http://purl.obolibrary.org/obo/FBbt_00005321>	"FBdv:00005321"
<http://purl.obolibrary.org/obo/FBbt_00003005>	"UBERON:6003005"
<http://purl.obolibrary.org/obo/CHEBI_49475>	"WebElements:Ar"
<http://purl.obolibrary.org/obo/FBbt_00001729>	"UBERON:6001729"
<http://purl.obolibrary.org/obo/FBbt_00000111>	"UBERON:0000924"
<http://purl.obolibrary.org/obo/CHEBI_36342>	"Wikipedia:Subatomic_particle"
<http://purl.obolibrary.org/obo/FBbt_00005805>	"VFB:FBbt_00005805"
<http://purl.obolibrary.org/obo/FBbt_00005805>	"UBERON:6005805"
