?cls	?xref
<http://purl.obolibrary.org/obo/FBbt_00004970>	"UBERON:0001001"
<http://purl.obolibrary.org/obo/CHEBI_43176>	"PDBeChem:OH"
<http://purl.obolibrary.org/obo/FBbt_00001733>	"UBERON:6001733"
<http://purl.obolibrary.org/obo/FBbt_00005426>	"UBERON:0007688"
<http://purl.obolibrary.org/obo/ENVO_00000446>	"SPIRE:Terrestrial"
<http://purl.obolibrary.org/obo/ENVO_00000446>	"LTER:798"
<http://purl.obolibrary.org/obo/FBbt_00003624>	"UBERON:6003624"
<http://purl.obolibrary.org/obo/FBbt_00003624>	"VFB:FBbt_00003624"
<http://purl.obolibrary.org/obo/FBbt_00001925>	"larvalbrain_neuropil:570"
<http://purl.obolibrary.org/obo/FBbt_00001925>	"UBERON:6001925"
<http://purl.obolibrary.org/obo/FBbt_00001925>	"larvalbrain_neuropil:392"
<http://purl.obolibrary.org/obo/FBbt_00001925>	"VFB:FBbt_00001925"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"EcoLexicon:sedimentation"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"SWEETRealm:Sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"https://en.wikipedia.org/wiki/Sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"EcoLexicon:sediment"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"LTER:493"
<http://purl.obolibrary.org/obo/ENVO_00002007>	"LTER:492"
<http://purl.obolibrary.org/obo/FBbt_00004114>	"UBERON:0000963"
<http://purl.obolibrary.org/obo/FBbt_00002953>	"UBERON:0003143"
<http://purl.obolibrary.org/obo/FBdv_00005337>	"UBERON:8000000"
<http://purl.obolibrary.org/obo/FBbt_00000006>	"UBERON:6000006"
<http://purl.obolibrary.org/obo/CHEBI_33521>	"KEGG:C00050"
<http://purl.obolibrary.org/obo/CHEBI_33521>	"Wikipedia:Metal"
<http://purl.obolibrary.org/obo/CHEBI_64047>	"Wikipedia:Food_additive"
<http://purl.obolibrary.org/obo/CHEBI_25555>	"WebElements:N"
<http://purl.obolibrary.org/obo/FBbt_00047888>	"VFB:FBbt_00047888"
<http://purl.obolibrary.org/obo/FBbt_00000054>	"FBdv:00000054"
<http://purl.obolibrary.org/obo/FBbt_00007229>	"UBERON:0010001"
<http://purl.obolibrary.org/obo/CHEBI_46662>	"Wikipedia:Mineral"
<http://purl.obolibrary.org/obo/GO_0007601>	"Wikipedia:Visual_perception"
<http://purl.obolibrary.org/obo/CHEBI_22695>	"KEGG:C00701"
<http://purl.obolibrary.org/obo/FBbt_00005317>	"FBdv:00005317"
<http://purl.obolibrary.org/obo/FBbt_00005317>	"UBERON:0004734"
<http://purl.obolibrary.org/obo/FBbt_00000158>	"UBERON:6000158"
<http://purl.obolibrary.org/obo/FBbt_00001842>	"UBERON:6001842"
<http://purl.obolibrary.org/obo/FBbt_00003009>	"UBERON:6003009"
<http://purl.obolibrary.org/obo/FBbt_00001911>	"UBERON:6001911"
<http://purl.obolibrary.org/obo/FBbt_00001911>	"VFB:FBbt_00001911"
<http://purl.obolibrary.org/obo/ENVO_01000895>	<http://sweetontology.net/phenAtmoPrecipitation/Snowfall>
<http://purl.obolibrary.org/obo/ENVO_01001524>	"http://sweetontology.net/realmCryo/FrozenGround"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"https://en.wikipedia.org/wiki/Air"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"LTER:18"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"SWEETRealm:Air"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"EcoLexicon:air"
<http://purl.obolibrary.org/obo/GO_0008152>	"Wikipedia:Metabolism"
<http://purl.obolibrary.org/obo/CHEBI_15339>	"KEGG:C16722"
<http://purl.obolibrary.org/obo/CHEBI_15339>	"KEGG:C00028"
<http://purl.obolibrary.org/obo/GO_0050890>	"Wikipedia:Cognition"
<http://purl.obolibrary.org/obo/FBbt_00007003>	"UBERON:0000479"
<http://purl.obolibrary.org/obo/FBbt_00007003>	"CARO:0000043"
<http://purl.obolibrary.org/obo/FBbt_00007146>	"VFB:FBbt_00007146"
<http://purl.obolibrary.org/obo/FBbt_00006011>	"UBERON:6006011"
<http://purl.obolibrary.org/obo/FBbt_00001059>	"UBERON:6001059"
<http://purl.obolibrary.org/obo/FBbt_00007276>	"UBERON:0034923"
<http://purl.obolibrary.org/obo/CHEBI_17891>	"KEGG:C01351"
<http://purl.obolibrary.org/obo/CARO_0000013>	"CL:0000000"
<http://purl.obolibrary.org/obo/CARO_0000013>	"GO:0005623"
<http://purl.obolibrary.org/obo/FBbt_00001649>	"UBERON:6001649"
<http://purl.obolibrary.org/obo/FBbt_00007233>	"UBERON:6007233"
<http://purl.obolibrary.org/obo/FBbt_00007233>	"VFB:FBbt_00007233"
<http://purl.obolibrary.org/obo/CHEBI_77974>	"Wikipedia:Packaging_gas"
<http://purl.obolibrary.org/obo/FBbt_00002642>	"UBERON:6002642"
<http://purl.obolibrary.org/obo/FBbt_00002642>	"VFB:FBbt_00002642"
<http://purl.obolibrary.org/obo/FBbt_00051069>	"VFB:FBbt_00051069"
<http://purl.obolibrary.org/obo/FBbt_00004969>	"UBERON:0002416"
<http://purl.obolibrary.org/obo/ENVO_01001617>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/FBbt_00001760>	"UBERON:6001760"
<http://purl.obolibrary.org/obo/FBbt_00005140>	"VFB:FBbt_00005140"
<http://purl.obolibrary.org/obo/FBbt_00007240>	"UBERON:6007240"
<http://purl.obolibrary.org/obo/FBbt_00007373>	"UBERON:6007373"
<http://purl.obolibrary.org/obo/FBbt_00007373>	"VFB:FBbt_00007373"
<http://purl.obolibrary.org/obo/ENVO_01001211>	"NCIT:C44445"
<http://purl.obolibrary.org/obo/FBbt_00003125>	"UBERON:0001555"
<http://purl.obolibrary.org/obo/ENVO_01000179>	"SPIRE:Desert_or_dune"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"https://en.wikipedia.org/wiki/Desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"LTER:147"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"FTT:1"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"TGN:21201"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"SWEETRealm:Desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"FTT:188"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"EcoLexicon:desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"Geonames:T.DSRT"
<http://purl.obolibrary.org/obo/FBbt_00001920>	"VFB:FBbt_00001920"
<http://purl.obolibrary.org/obo/FBbt_00001920>	"UBERON:6001920"
<http://purl.obolibrary.org/obo/FBbt_00005094>	"VFB:FBbt_00005094"
<http://purl.obolibrary.org/obo/FBbt_00005094>	"UBERON:0001017"
<http://purl.obolibrary.org/obo/FBbt_00007009>	"CARO:0000032"
<http://purl.obolibrary.org/obo/FBbt_00007009>	"UBERON:0000475"
<http://purl.obolibrary.org/obo/GO_0060004>	"Wikipedia:Reflex"
<http://purl.obolibrary.org/obo/FBdv_00004886>	"GO:0048477"
<http://purl.obolibrary.org/obo/FBbt_00007330>	"UBERON:0011216"
<http://purl.obolibrary.org/obo/ENVO_01001110>	"LTER:173"
<http://purl.obolibrary.org/obo/FBbt_00000052>	"UBERON:0000922"
<http://purl.obolibrary.org/obo/FBbt_00000052>	"FBdv:00005289"
<http://purl.obolibrary.org/obo/ENVO_00002982>	"EcoLexicon:clay"
<http://purl.obolibrary.org/obo/ENVO_00002982>	"SWEETRealm:Clay"
<http://purl.obolibrary.org/obo/GO_0009653>	"Wikipedia:Morphogenesis"
<http://purl.obolibrary.org/obo/FBbt_00005533>	"UBERON:6005533"
<http://purl.obolibrary.org/obo/FBbt_00110638>	"VFB:FBbt_00110638"
<http://purl.obolibrary.org/obo/FBbt_00003012>	"UBERON:6003012"
<http://purl.obolibrary.org/obo/FBbt_00001055>	"UBERON:6001055"
<http://purl.obolibrary.org/obo/CHEBI_49637>	"WebElements:H"
<http://purl.obolibrary.org/obo/FBbt_00001730>	"UBERON:6001730"
<http://purl.obolibrary.org/obo/GO_0050906>	"Wikipedia:Transduction_(physiology)"
<http://purl.obolibrary.org/obo/FBbt_00003627>	"VFB:FBbt_00003627"
<http://purl.obolibrary.org/obo/FBbt_00003627>	"UBERON:6003627"
<http://purl.obolibrary.org/obo/CHEBI_25805>	"KEGG:C00007"
<http://purl.obolibrary.org/obo/CHEBI_25805>	"WebElements:O"
<http://purl.obolibrary.org/obo/FBbt_00005830>	"UBERON:6005830"
<http://purl.obolibrary.org/obo/FBbt_00000003>	"UBERON:0000914"
<http://purl.obolibrary.org/obo/FBbt_00005558>	"UBERON:6005558"
<http://purl.obolibrary.org/obo/CHEBI_78433>	"Wikipedia:Refrigerant"
<http://purl.obolibrary.org/obo/ENVO_00000428>	"LTER:809"
<http://purl.obolibrary.org/obo/ENVO_00000428>	"EcoLexicon:biome"
<http://purl.obolibrary.org/obo/FBbt_00004983>	"UBERON:6004983"
<http://purl.obolibrary.org/obo/FBbt_00005290>	"FBdv:00005290"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/PATO_0001555>	"OBO_REL:has_part"
<http://purl.obolibrary.org/obo/FBbt_00000009>	"UBERON:6000009"
<http://purl.obolibrary.org/obo/FBbt_00003010>	"UBERON:6003010"
<http://purl.obolibrary.org/obo/FBbt_00007006>	"UBERON:0005423"
<http://purl.obolibrary.org/obo/FBbt_00007006>	"CARO:0000066"
<http://purl.obolibrary.org/obo/ENVO_00000134>	<http://sweetontology.net/realmSoil/Permafrost>
<http://purl.obolibrary.org/obo/ENVO_00000134>	"LTER:408"
<http://purl.obolibrary.org/obo/ENVO_00000134>	"https://en.wikipedia.org/wiki/Permafrost"
<http://purl.obolibrary.org/obo/CHEBI_29412>	"MolBase:1646"
<http://purl.obolibrary.org/obo/FBbt_00001057>	"UBERON:0002346"
<http://purl.obolibrary.org/obo/FBbt_00007013>	"UBERON:0000476"
<http://purl.obolibrary.org/obo/FBbt_00007013>	"CARO:0000040"
<http://purl.obolibrary.org/obo/FBbt_00004993>	"UBERON:0007376"
<http://purl.obolibrary.org/obo/ENVO_01001191>	"SWEETRealm:SurfaceWater"
<http://purl.obolibrary.org/obo/ENVO_01001191>	"EcoLexicon:surface_water"
<http://purl.obolibrary.org/obo/ENVO_01001191>	"https://en.wikipedia.org/wiki/Surface_water"
<http://purl.obolibrary.org/obo/FBbt_00003559>	"UBERON:6003559"
<http://purl.obolibrary.org/obo/FBbt_00003559>	"VFB:FBbt_00003559"
<http://purl.obolibrary.org/obo/FBbt_00005393>	"UBERON:6005393"
<http://purl.obolibrary.org/obo/CL_0001063>	"https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C12922"
<http://purl.obolibrary.org/obo/FBbt_00003006>	"UBERON:6003006"
<http://purl.obolibrary.org/obo/FBbt_00051067>	"VFB:FBbt_00051067"
<http://purl.obolibrary.org/obo/FBbt_00000154>	"UBERON:6000154"
<http://purl.obolibrary.org/obo/ENVO_01000017>	"EcoLexicon:sand"
<http://purl.obolibrary.org/obo/ENVO_01000017>	"SWEETRealm:Sand"
<http://purl.obolibrary.org/obo/ENVO_01000017>	"LTER:484"
<http://purl.obolibrary.org/obo/ENVO_01000017>	"https://en.wikipedia.org/wiki/Sand"
<http://purl.obolibrary.org/obo/FBbt_00001727>	"UBERON:0002548"
<http://purl.obolibrary.org/obo/ENVO_00000339>	"TGN:21444"
<http://purl.obolibrary.org/obo/ENVO_00000339>	"FTT:1010"
<http://purl.obolibrary.org/obo/ENVO_00000339>	"Geonames:T.RKS"
<http://purl.obolibrary.org/obo/ENVO_00000339>	"FTT:145"
<http://purl.obolibrary.org/obo/ENVO_00000339>	"Geonames:T.RK"
<http://purl.obolibrary.org/obo/FBbt_00005806>	"VFB:FBbt_00005806"
<http://purl.obolibrary.org/obo/ENVO_00001998>	"SWEETRealm:Soil"
<http://purl.obolibrary.org/obo/ENVO_00001998>	"SPIRE:Soil"
<http://purl.obolibrary.org/obo/ENVO_00001998>	"https://en.wikipedia.org/wiki/Soil"
<http://purl.obolibrary.org/obo/ENVO_00001998>	"LTER:535"
<http://purl.obolibrary.org/obo/ENVO_03400004>	<http://sweetontology.net/phenAtmoPrecipitation/HeavySnowfall>
<http://purl.obolibrary.org/obo/FBbt_00007050>	"VFB:FBbt_00007050"
<http://purl.obolibrary.org/obo/FBbt_00000186>	"UBERON:6000186"
<http://purl.obolibrary.org/obo/FBbt_00004979>	"UBERON:6004979"
<http://purl.obolibrary.org/obo/FBbt_00001734>	"UBERON:6001734"
<http://purl.obolibrary.org/obo/GO_0031099>	"Wikipedia:Regeneration_(biology)"
<http://purl.obolibrary.org/obo/FBdv_00005338>	"UBERON:8000001"
<http://purl.obolibrary.org/obo/FBbt_00000007>	"UBERON:6000007"
<http://purl.obolibrary.org/obo/ENVO_01001619>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/CHEBI_138675>	"Wikipedia:https://en.wikipedia.org/wiki/Gas"
<http://purl.obolibrary.org/obo/FBbt_00047889>	"VFB:FBbt_00047889"
<http://purl.obolibrary.org/obo/CHEBI_51143>	"KEGG:C06061"
<http://purl.obolibrary.org/obo/ENVO_01000155>	"EcoLexicon:organic_material"
<http://purl.obolibrary.org/obo/GO_0009888>	"Wikipedia:Histogenesis"
<http://purl.obolibrary.org/obo/PATO_0002000>	"OBO_REL:lacks_part"
<http://purl.obolibrary.org/obo/FBbt_00004208>	"UBERON:0002050"
<http://purl.obolibrary.org/obo/CHEBI_30217>	"WebElements:He"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"EcoLexicon:landforms"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"FTT:96"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"TGN:21401"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"SWEETRealm:Landform"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"EcoLexicon:landform"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"TGN:21400"
<http://purl.obolibrary.org/obo/ENVO_00000191>	"FTT:754"
<http://purl.obolibrary.org/obo/FBbt_00110636>	"VFB:FBbt_00110636"
<http://purl.obolibrary.org/obo/FBbt_00110636>	"UBERON:6110636"
<http://purl.obolibrary.org/obo/CL_0001061>	"https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C12913"
<http://purl.obolibrary.org/obo/FBbt_00005304>	"FBdv:00005304"
<http://purl.obolibrary.org/obo/GO_0048513>	"Wikipedia:Organogenesis"
<http://purl.obolibrary.org/obo/FBbt_00005427>	"UBERON:6005427"
<http://purl.obolibrary.org/obo/FBbt_00007278>	"UBERON:0015203"
<http://purl.obolibrary.org/obo/GO_0044238>	"Wikipedia:Primary_metabolite"
<http://purl.obolibrary.org/obo/PATO_0001018>	"Wikipedia:Physical_property"
<http://purl.obolibrary.org/obo/FBbt_00005137>	"VFB:FBbt_00005137"
<http://purl.obolibrary.org/obo/FBbt_00001912>	"VFB:FBbt_00001912"
<http://purl.obolibrary.org/obo/ENVO_03000143>	<http://sweetontology.net/realm/Cryosphere>
<http://purl.obolibrary.org/obo/FBbt_00001957>	"VFB:FBbt_00001957"
<http://purl.obolibrary.org/obo/FBbt_00001957>	"larvalbrain_neuropil:515"
<http://purl.obolibrary.org/obo/FBbt_00001957>	"larvalbrain_neuropil:337"
<http://purl.obolibrary.org/obo/ENVO_01000256>	"LTER:341"
<http://purl.obolibrary.org/obo/FBbt_00005333>	"UBERON:0000323"
<http://purl.obolibrary.org/obo/FBbt_00005333>	"FBdv:00005333"
<http://purl.obolibrary.org/obo/CHEBI_33839>	"Wikipedia:Macromolecule"
<http://purl.obolibrary.org/obo/ENVO_01000752>	"NLCD:31"
<http://purl.obolibrary.org/obo/ENVO_01000016>	"SWEETRealm:Silt"
<http://purl.obolibrary.org/obo/ENVO_01000016>	"EcoLexicon:silt"
<http://purl.obolibrary.org/obo/ENVO_01000016>	"https://en.wikipedia.org/wiki/Silt"
<http://purl.obolibrary.org/obo/FBbt_00000137>	"UBERON:6000137"
<http://purl.obolibrary.org/obo/FBbt_00001930>	"VFB:FBbt_00001930"
<http://purl.obolibrary.org/obo/FBbt_00001930>	"larvalbrain_neuropil:391"
<http://purl.obolibrary.org/obo/FBbt_00001930>	"larvalbrain_neuropil:569"
<http://purl.obolibrary.org/obo/FBbt_00007242>	"UBERON:6007242"
<http://purl.obolibrary.org/obo/FBbt_00001728>	"UBERON:6001728"
<http://purl.obolibrary.org/obo/FBbt_00000110>	"UBERON:0000923"
<http://purl.obolibrary.org/obo/FBbt_00007277>	"UBERON:0000477"
<http://purl.obolibrary.org/obo/FBbt_00051070>	"VFB:FBbt_00051070"
