defined_class	defined_class_label	behavior_process	behavior_process_label
FBcv:0007514	decreased sleep	GO:0030431	sleep
FBcv:0007516	decreased feeding behavior	GO:0007631	feeding behavior
FBcv:0007544	decreased rate of chemosensory behaviour	GO:0007635	chemosensory behaviour
FBcv:0007545	decreased rate of proboscis extension reflex	GO:0007637	proboscis extension reflex
FBcv:0007546	decreased rate of grooming behavior	GO:0007625	grooming behavior
FBcv:0007547	decreased rate of locomotory behavior	GO:0007626	locomotory behavior
FBcv:0007548	decreased rate of adult walking behavior	GO:0007628	adult walking behavior
FBcv:0007549	decreased rate of larval locomotory behavior	GO:0008345	larval locomotory behavior
FBcv:0007550	decreased rate of adult locomotory behavior	GO:0008344	adult locomotory behavior
FBcv:0007551	decreased rate of mating behavior	GO:0007617	mating behavior
FBcv:0007552	decreased rate of courtship behavior	GO:0007619	courtship behavior
FBcv:0007553	decreased rate of flight behavior	GO:0007629	flight behavior
FBcv:0007554	decreased rate of jump response	GO:0007630	jump response
FBcv:0007555	decreased rate of copulation	GO:0007620	copulation