defined_class	defined_class_label	biological_process	biological_process_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000392	hyperactive	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement	http://purl.obolibrary.org/obo/PATO_0000380	increased frequency
http://purl.obolibrary.org/obo/FBcv_0000390	hypoactive	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement	http://purl.obolibrary.org/obo/PATO_0000381	decreased frequency
http://purl.obolibrary.org/obo/FBcv_0000418	flightless	http://purl.obolibrary.org/obo/GO_0060361	flight	http://purl.obolibrary.org/obo/PATO_0000462	absent
http://purl.obolibrary.org/obo/FBcv_0000718	decreased cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth	http://purl.obolibrary.org/obo/PATO_0000911	decreased rate
http://purl.obolibrary.org/obo/FBcv_0000791	delayed aging	http://purl.obolibrary.org/obo/GO_0007568	aging	http://purl.obolibrary.org/obo/PATO_0000911	decreased rate
http://purl.obolibrary.org/obo/FBcv_0000717	increased cell growth	http://purl.obolibrary.org/obo/GO_0016049	cell growth	http://purl.obolibrary.org/obo/PATO_0000912	increased rate
http://purl.obolibrary.org/obo/FBcv_0000792	premature aging	http://purl.obolibrary.org/obo/GO_0007568	aging	http://purl.obolibrary.org/obo/PATO_0000912	increased rate
http://purl.obolibrary.org/obo/FBcv_0000440	chemical sensitive	http://purl.obolibrary.org/obo/GO_0042221	response to chemical	http://purl.obolibrary.org/obo/PATO_0001551	increased sensitivity of a process
http://purl.obolibrary.org/obo/FBcv_0000442	radiation sensitive	http://purl.obolibrary.org/obo/GO_0009314	response to radiation	http://purl.obolibrary.org/obo/PATO_0001551	increased sensitivity of a process
http://purl.obolibrary.org/obo/FBcv_0000439	chemical resistant	http://purl.obolibrary.org/obo/GO_0042221	response to chemical	http://purl.obolibrary.org/obo/PATO_0001552	decreased sensitivity of a process
http://purl.obolibrary.org/obo/FBcv_0000441	radiation resistant	http://purl.obolibrary.org/obo/GO_0009314	response to radiation	http://purl.obolibrary.org/obo/PATO_0001552	decreased sensitivity of a process
http://purl.obolibrary.org/obo/FBcv_0000389	paralytic	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement	http://purl.obolibrary.org/obo/PATO_0001558	lacking processual parts
http://purl.obolibrary.org/obo/FBcv_0006005	increased occurrence of cell division	http://purl.obolibrary.org/obo/GO_0051301	cell division	http://purl.obolibrary.org/obo/PATO_0002051	increased occurrence
http://purl.obolibrary.org/obo/FBcv_0006006	decreased occurrence of cell division	http://purl.obolibrary.org/obo/GO_0051301	cell division	http://purl.obolibrary.org/obo/PATO_0002052	decreased occurrence